start: 1409838761289.592
CPU comm6 start: 1409838762057.588
CPU exe7 end: 1409838762059.292
CPU comm7 start: 1409838762059.359
CPU exe2 end: 1409838762060.521
CPU comm2 start: 1409838762060.621
CPU exe1 end: 1409838762063.561
CPU comm1 start: 1409838762063.674
CPU comm9 end: 1409838762066.83
CPU comm9 end: 1409838762067.701
CPU exe9 start: 1409838762067.739
GPU comm1 start: 1409838762084.162
GPU comm1 end: 1409838762084.398
GPU exe start: 1409838762084.458
CPU exe0 end: 1409838762093.639
CPU comm0 start: 1409838762093.711
GPU exe end: 1409838762100.339
GPU memcp start: 1409838762100.423
GPU memcp end: 1409838762100.59
GPU comm2 start: 1409838762100.609
CPU comm4 end: 1409838762105.22
CPU exe9 end: 1409838762115.381
CPU comm9 start: 1409838762115.465
CPU comm8 end: 1409838762126.769
CPU comm3 end: 1409838762146.098
CPU comm5 end: 1409838762163.996
CPU comm7 end: 1409838762182.016
CPU comm6 end: 1409838762201.442
CPU comm2 end: 1409838762219.623
CPU comm1 end: 1409838762237.645
CPU comm0 end: 1409838762257.055
GPU comm2 end: 1409838762257.212
GPU comm1 start: 1409838762276.581
GPU comm1 end: 1409838762276.831
GPU exe start: 1409838762276.92
CPU comm9 end: 1409838762296.153
CPU comm0 start: 1409838762296.481
CPU comm1 start: 1409838762296.547
CPU comm2 start: 1409838762296.598
CPU comm1 end: 1409838762296.685
CPU comm3 start: 1409838762296.722
CPU comm2 end: 1409838762296.809
CPU comm4 start: 1409838762296.829
CPU comm3 end: 1409838762296.923
CPU exe3 start: 1409838762297.077
CPU comm4 end: 1409838762297.167
CPU comm0 end: 1409838762296.631
CPU exe0 start: 1409838762297.221
CPU exe2 start: 1409838762297.401
CPU exe4 start: 1409838762297.644
CPU comm5 start: 1409838762297.124
CPU exe1 start: 1409838762296.726
CPU comm6 start: 1409838762297.83
CPU comm5 end: 1409838762297.908
CPU exe5 start: 1409838762297.98
CPU comm7 start: 1409838762297.912
CPU comm6 end: 1409838762298.024
CPU comm8 start: 1409838762298.046
CPU exe6 start: 1409838762298.096
CPU comm8 end: 1409838762298.259
CPU exe8 start: 1409838762298.299
CPU comm9 start: 1409838762298.142
CPU comm7 end: 1409838762298.137
CPU exe7 start: 1409838762298.458
CPU comm9 end: 1409838762298.475
CPU exe9 start: 1409838762298.504
GPU exe end: 1409838762301.382
GPU memcp start: 1409838762301.427
GPU memcp end: 1409838762301.589
GPU comm2 start: 1409838762301.618
GPU comm2 end: 1409838762313.322
GPU comm1 start: 1409838762333.791
GPU comm1 end: 1409838762334.058
GPU exe start: 1409838762334.116
CPU exe4 end: 1409838762352.135
CPU comm4 start: 1409838762352.214
CPU exe5 end: 1409838762358.378
CPU comm5 start: 1409838762358.462
CPU exe6 end: 1409838762358.465
CPU comm6 start: 1409838762358.584
CPU exe8 end: 1409838762359.677
CPU comm8 start: 1409838762359.771
CPU exe3 end: 1409838762363.15
CPU comm3 start: 1409838762363.232
CPU exe7 end: 1409838762364.711
CPU comm7 start: 1409838762364.77
CPU exe2 end: 1409838762365.735
CPU comm2 start: 1409838762365.8
CPU exe1 end: 1409838762370.223
CPU comm1 start: 1409838762370.297
GPU exe end: 1409838762370.448
GPU memcp start: 1409838762370.551
CPU exe9 end: 1409838762371.129
GPU memcp end: 1409838762371.149
GPU comm2 start: 1409838762371.384
CPU comm9 start: 1409838762371.597
CPU comm4 end: 1409838762406.967
CPU exe0 end: 1409838762416.888
CPU comm0 start: 1409838762417.027
CPU comm5 end: 1409838762425.198
CPU comm3 end: 1409838762443.104
CPU comm8 end: 1409838762460.188
CPU comm6 end: 1409838762477.262
CPU comm7 end: 1409838762494.294
CPU comm2 end: 1409838762511.391
CPU comm1 end: 1409838762528.435
CPU comm9 end: 1409838762545.491
GPU comm2 end: 1409838762545.751
GPU comm1 start: 1409838762562.985
GPU comm1 end: 1409838762563.28
GPU exe start: 1409838762563.393
CPU comm0 end: 1409838762580.137
CPU comm0 start: 1409838762580.433
CPU comm1 start: 1409838762580.574
CPU comm0 end: 1409838762580.688
CPU comm2 start: 1409838762580.695
CPU exe0 start: 1409838762580.751
CPU comm2 end: 1409838762580.876
CPU exe2 start: 1409838762580.927
CPU comm3 start: 1409838762580.782
CPU comm4 start: 1409838762581.104
CPU comm3 end: 1409838762581.225
CPU comm5 start: 1409838762581.334
CPU comm4 end: 1409838762581.411
CPU comm6 start: 1409838762581.443
CPU comm5 end: 1409838762581.518
CPU comm6 end: 1409838762581.648
CPU exe5 start: 1409838762581.69
CPU comm7 start: 1409838762581.526
CPU comm8 start: 1409838762581.919
CPU comm7 end: 1409838762582.036
CPU exe7 start: 1409838762582.163
CPU exe3 start: 1409838762581.803
CPU comm1 end: 1409838762580.804
CPU comm9 start: 1409838762582.087
CPU exe1 start: 1409838762582.572
CPU exe4 start: 1409838762581.449
CPU comm9 end: 1409838762582.716
CPU exe9 start: 1409838762582.757
CPU exe6 start: 1409838762581.697
CPU comm8 end: 1409838762582.209
CPU exe8 start: 1409838762582.941
GPU exe end: 1409838762617.816
GPU memcp start: 1409838762617.897
GPU memcp end: 1409838762618.267
GPU comm2 start: 1409838762618.295
GPU comm2 end: 1409838762630.417
GPU comm1 start: 1409838762651.118
GPU comm1 end: 1409838762651.394
GPU exe start: 1409838762651.459
CPU exe4 end: 1409838762669.879
CPU comm4 start: 1409838762669.948
CPU exe6 end: 1409838762674.699
CPU comm6 start: 1409838762674.778
CPU exe7 end: 1409838762683.305
CPU comm7 start: 1409838762683.398
CPU exe5 end: 1409838762685.948
CPU comm5 start: 1409838762686.013
CPU exe3 end: 1409838762687.902
CPU comm3 start: 1409838762687.961
CPU exe1 end: 1409838762689.018
CPU comm1 start: 1409838762689.06
CPU exe8 end: 1409838762690.818
CPU comm8 start: 1409838762692.541
